car_description,car_name,km_traveled,value,year
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,47.047,R$ 57.870,2020
1.0 200 Tsi Highline Automático,Volkswagen Virtus,27.349,R$ 97.870,2020
1.0 200 Tsi Highline Automático,Volkswagen Virtus,29.468,R$ 97.870,2020
1.6 Msi Totalflex Manual,Volkswagen Voyage,70.370,R$ 55.980,2020
1.6 16v Sce Expression X-tronic,Renault Duster,43.332,R$ 78.970,2019
1.6 Comfort Plus 16v Manual,Hyundai Hb20,76.434,R$ 63.980,2019
1.0 12v Vision Manual,Hyundai Hb20s,58.529,R$ 67.470,2020
1.0 Fire Attractive Manual,Fiat Uno,53.034,R$ 49.470,2020
1.0 Firefly Drive Manual,Fiat Argo,63.697,R$ 60.270,2020
1.0 Tgdi Evolution Automático,Hyundai Hb20s,44.636,R$ 82.870,2020
1.0 Fire Attractive Manual,Fiat Uno,66.965,R$ 47.870,2020
1.0 Fire Attractive Manual,Fiat Uno,60.675,R$ 47.870,2020
1.6 Msi Total Automático,Volkswagen Polo,47.338,R$ 74.970,2020
1.0 Unique 12v Manual,Hyundai Hb20,35.638,R$ 58.570,2019
1.0 Fire Attractive Manual,Fiat Uno,62.466,R$ 47.970,2020
1.0 Comfort 12v Manual,Hyundai Hb20,79.686,R$ 55.870,2018
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,61.346,R$ 53.870,2019
1.4 Turbo Lt 16v Automático,Chevrolet Cruze,37.222,R$ 99.970,2019
1.6 Comfort Plus 16v Manual,Hyundai Hb20,57.277,R$ 66.970,2019
1.6 Comfort Plus 16v Manual,Hyundai Hb20,50.606,R$ 66.970,2019
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,65.938,R$ 53.870,2019
1.0 Mpi Total Manual,Volkswagen Polo,50.335,R$ 64.980,2020
1.6 16v Msi Totalflex Automático,Volkswagen Gol,67.317,R$ 62.870,2019
1.0 Ti-vct Se Manual,Ford Ka sedan,91.073,R$ 50.180,2019
1.0 12v Sce Authentique Manual,Renault Sandero,71.303,R$ 46.570,2019
1.0 Unique 12v Manual,Hyundai Hb20,71.381,R$ 56.970,2019
1.0 200 Tsi Highline Automático,Volkswagen Virtus,87.172,R$ 89.780,2020
1.0 12v Sce Authentique Manual,Renault Logan,69.325,R$ 46.870,2018
1.0 12v Sce Zen Manual,Renault Sandero,76.460,R$ 51.780,2020
1.0 Fire Attractive Manual,Fiat Uno,100.105,R$ 45.880,2020
1.5 X Sedan 16v Automático,Toyota Etios,46.899,R$ 68.970,2020
1.3 16v Xl Manual,Toyota Yaris,52.778,R$ 74.870,2019
1.0 12v Sce Authentique Manual,Renault Sandero,89.099,R$ 46.680,2020
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,75.126,R$ 50.880,2019
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,67.706,R$ 53.870,2019
1.6 Msi Total Automático,Volkswagen Polo,48.646,R$ 74.970,2020
1.0 12v Mpi Totalflex Manual,Volkswagen Gol,94.239,R$ 48.080,2019
1.6 Msi Totalflex Manual,Volkswagen Voyage,45.248,R$ 59.870,2020
1.6 Comfort Plus 16v Manual,Hyundai Hb20,56.578,R$ 66.970,2019
1.4 250 Tsi Total Highline Automático,Volkswagen T-cross,52.974,R$ 113.070,2020
1.0 Black Spe/4 Eco,Chevrolet Joy,55.255,R$ 59.980,2020
1.5 Ti-vct Se Automático,Ford Ecosport,39.132,R$ 80.970,2020
1.0 200 Tsi Comfortline Automático,Volkswagen Virtus,83.301,R$ 82.980,2020
1.6 Msi Totalflex Manual,Volkswagen Voyage,45.976,R$ 59.870,2020
1.6 Comfort Plus 16v Manual,Hyundai Hb20,80.903,R$ 61.770,2018
1.0 Fire Attractive Manual,Fiat Uno,78.047,R$ 47.280,2020
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,49.249,R$ 57.870,2020
1.8 Premier 8v Manual,Chevrolet Spin,68.375,R$ 86.870,2020
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,65.385,R$ 56.870,2020
1.6 Msi Totalflex Manual,Volkswagen Voyage,54.919,R$ 57.970,2019
1.6 Msi Total Connect Manual,Volkswagen Fox,66.772,R$ 60.870,2019
1.8 16v Evo Endurance At6,Fiat Toro,52.032,R$ 99.970,2019
1.6 Msi Total Manual,Volkswagen Polo,49.241,R$ 69.970,2020
1.0 12v Sce Life Manual,Renault Logan,69.469,R$ 56.870,2021
1.0 12v Sce Zen Manual,Renault Sandero,76.196,R$ 51.780,2020
1.6 Msi Totalflex Manual,Volkswagen Voyage,45.568,R$ 59.870,2020
1.0 200 Tsi Comfortline Automático,Volkswagen Polo,72.991,R$ 78.870,2018
1.0 12v Sce Zen Manual,Renault Kwid,38.801,R$ 50.870,2021
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,59.135,R$ 54.670,2019
1.0 12v Mpi Totalflex Manual,Volkswagen Gol,44.261,R$ 53.870,2020
1.0 12v Mpi Totalflex Manual,Volkswagen Gol,90.210,R$ 48.080,2019
2.0 16v Longitude Automático,Jeep Compass,46.211,R$ 126.870,2019
1.0 Unique 12v Manual,Hyundai Hb20,91.079,R$ 53.280,2019
1.4 Tsi Highline 16v Total Tiptronic,Volkswagen Golf,72.108,R$ 116.970,2017
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,74.984,R$ 50.880,2019
1.6 Comfort Plus 16v Manual,Hyundai Hb20,56.393,R$ 66.970,2019
1.6 Comfort Plus 16v Manual,Hyundai Hb20s,63.391,R$ 69.870,2019
1.0 Comfort Plus 12v Manual,Hyundai Hb20,70.473,R$ 61.870,2019
1.6 Msi Total Automático,Volkswagen Polo,51.848,R$ 74.970,2020
1.6 Msi Total Manual,Volkswagen Virtus,90.647,R$ 71.680,2020
1.0 12v Sce Life Manual,Renault Logan,39.434,R$ 53.970,2020
1.6 Msi Total Manual,Volkswagen Virtus,91.163,R$ 71.680,2020
1.4 250 Tsi Total Comfortline Tiptronic,Volkswagen Jetta,93.258,R$ 107.980,2019
1.8 16v Longitude Automático,Jeep Renegade,57.151,R$ 90.770,2019
1.6 Msi Total Manual,Volkswagen Virtus,94.460,R$ 69.980,2020
1.0 Firefly Drive Manual,Fiat Argo,38.541,R$ 61.570,2020
1.0 Ti-vct Se Manual,Ford Ka,42.361,R$ 55.870,2020
1.0 Comfort Plus 12v Manual,Hyundai Hb20s,72.224,R$ 63.880,2019
1.0 12v Sense Manual,Hyundai Hb20,72.664,R$ 59.870,2020
1.0 Ti-vct Se Manual,Ford Ka,40.733,R$ 55.870,2020
2.0 16v Longitude Automático,Jeep Compass,71.210,R$ 119.880,2020
1.6 Msi Total Automático,Volkswagen Polo,56.084,R$ 73.970,2020
1.6 Msi Total Automático,Volkswagen Polo,55.435,R$ 73.970,2020
1.0 Evo Like. Manual,Fiat Mobi,97.789,R$ 44.480,2019
1.4 Turbo Lt 16v Automático,Chevrolet Cruze,46.856,R$ 108.970,2020
1.6 Msi Totalflex Manual,Volkswagen Voyage,46.906,R$ 59.870,2020
1.6 Msi Total Automático,Volkswagen Polo,59.618,R$ 73.970,2020
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,69.012,R$ 53.870,2019
1.4 16v Turbo Premier Automático,Chevrolet Tracker,97.464,R$ 89.980,2018
1.4 Turbo Ltz 16v Automático,Chevrolet Cruze,75.620,R$ 102.280,2019
1.6 Comfort Plus 16v Manual,Hyundai Hb20,70.406,R$ 66.870,2019
1.6 Comfort Plus 16v Manual,Hyundai Hb20,68.312,R$ 66.870,2019
1.8 Activ 8v Automático,Chevrolet Spin,47.754,R$ 85.870,2019
1.5 Se 16v Manual,Ford Ka sedan,141.763,R$ 46.880,2018
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,50.345,R$ 57.870,2020
2.0 Xei 16v Automático,Toyota Corolla,156.998,R$ 84.980,2017
2.0 Sel 16v Automático,Ford Fusion,110.265,R$ 93.880,2018
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,64.195,R$ 53.870,2019
1.5 Ti-vct Freestyle Automático,Ford Ecosport,12.553,R$ 93.570,2020
1.0 Turbo Lt Manual,Chevrolet Onix,69.032,R$ 71.770,2020
1.6 Msi Totalflex Manual,Volkswagen Voyage,59.071,R$ 61.970,2021
1.0 12v Sense Manual,Hyundai Hb20,41.656,R$ 61.070,2020
1.0 12v Sce Authentique Manual,Renault Sandero,70.746,R$ 46.570,2019
1.4 Mpfi Lt 8v Manual,Chevrolet Prisma,44.837,R$ 69.470,2019
1.8 16v Evo Endurance At6,Fiat Toro,42.060,R$ 105.770,2021
3.3 Mpfi 4x4 V6 270cv Automático,Hyundai Santa fe,57.335,R$ 121.970,2016
1.0 Fire Attractive Manual,Fiat Uno,51.387,R$ 49.470,2020
1.6 Comfort Plus 16v Automático,Hyundai Hb20s,61.871,R$ 71.970,2019
1.4 Tfsi Prestige S Tronic,Audi Q3,36.526,R$ 163.970,2019
1.8 16v Night Eagle Automático,Jeep Renegade,74.200,R$ 89.970,2018
1.4 Tfsi Black Edition S Tronic,Audi Q3,25.447,R$ 183.980,2019
1.6 Msi Trendline 8v Manual,Volkswagen Spacefox,89.600,R$ 56.970,2018
