car_description,car_name,km_traveled,value,year
1.4 250 Tsi Total Comfortline Tiptronic,Volkswagen Jetta,42.259,R$ 112.870,2018
1.5 16v Sedan Xls Connect Multidrive,Toyota Yaris,44.026,R$ 99.970,2020
1.4 Mpfi Lt 8v Manual,Chevrolet Onix,63.052,R$ 60.770,2019
1.0 200 Tsi Comfortline Automático,Volkswagen Polo,78.551,R$ 77.870,2018
1.6 Msi Total Automático,Volkswagen Polo,64.077,R$ 73.970,2020
1.6 16v Style Manual,Hyundai Hb20x,60.897,R$ 55.970,2015
1.4 Mpi Hard Working Ce 8v Manual,Fiat Strada,53.645,R$ 66.970,2020
1.4 Mpfi Lt 8v Manual,Chevrolet Onix,56.968,R$ 61.870,2019
2.0 16v Limited Automático,Jeep Compass,72.742,R$ 128.870,2018
1.8 Tfsi Sportback 16v Automático,Audi A3,71.328,R$ 99.870,2014
1.0 12v Mpi Totalflex Manual,Volkswagen Gol,51.324,R$ 51.870,2019
1.0 12v Sce Life Manual,Renault Sandero,51.904,R$ 54.470,2021
1.5 16v Xl Plus Connect Multidrive,Toyota Yaris,2.912,R$ 97.970,2022
1.0 200 Tsi Total Automático,Volkswagen T-cross,16.789,R$ 113.970,2020
1.0 12v Sense Manual,Hyundai Hb20,65.857,R$ 59.970,2020
1.0 Mpfi Ls 8v Manual,Chevrolet Onix,102.482,R$ 44.970,2015
1.0 Unique 12v Manual,Hyundai Hb20,64.101,R$ 56.970,2019
1.0 Unique 12v Manual,Hyundai Hb20,72.486,R$ 56.470,2019
2.0 Ex 4x2 16v Automático,Kia Sportage,110.296,R$ 78.970,2012
1.5 Se Plus 16v Manual,Ford Ka sedan,74.425,R$ 53.170,2018
1.5 16v Flexone Ex Cvt,Honda Wr-v,67.764,R$ 87.970,2018
1.6 Mi Highline 8v Automatizado,Volkswagen Fox,84.293,R$ 46.970,2014
1.4 16v Tsi Comfortline Tiptronic,Volkswagen Jetta,60.428,R$ 102.870,2018
1.0 Turbo Premier Automático,Chevrolet Onix,13.994,R$ 92.870,2020
1.5 Mpfi 16v Act Automático,Chery Tiggo 2,35.454,R$ 82.870,2020
1.6 Msi Trendline Cs 8v Manual,Volkswagen Saveiro,19.493,R$ 89.970,2022
1.4 Tsi 16v Turbo Tiptronic,Volkswagen Tiguan,54.101,R$ 107.770,2017
2.0 16v Longitude Automático,Jeep Compass,34.473,R$ 120.970,2018
1.0 Turbo Plus Premier Automático,Chevrolet Onix,43.764,R$ 90.870,2020
3.6 Rt V6 Automático,Dodge Journey,90.537,R$ 97.870,2017
1.4 Mpi Hard Working Cs 8v Manual,Fiat Strada,50.318,R$ 65.770,2020
1.4 Tfsi Sedan Attraction 16v Tiptronic,Audi A3,58.380,R$ 118.870,2018
